lon,lat
74.462441,34.283188
74.462576,34.283197
74.462938,34.283230
74.463872,34.283280
74.464342,34.283363
74.465117,34.283498
74.466633,34.283748
74.466844,34.283834
74.466954,34.283949
74.467054,34.284098
74.467316,34.284412
74.467345,34.284490
74.467378,34.284577
74.467478,34.284642
74.468019,34.284855
74.468541,34.285065
74.468698,34.285186
74.468923,34.285316
74.469556,34.285652
74.469801,34.285726
74.469947,34.285801
74.470322,34.285995
74.470410,34.286114
74.470435,34.286265
74.470422,34.286540
74.470456,34.286657
74.470721,34.286952
74.471082,34.287056
74.471465,34.287251
74.471706,34.287339
74.471792,34.287417
74.472137,34.288093
74.472275,34.288241
74.472675,34.288560
74.472843,34.288691
74.473011,34.288817
74.473291,34.289000
74.473568,34.289249
74.473795,34.289513
74.473944,34.289726
74.474306,34.290368
74.474669,34.290916
74.475006,34.291662
74.475121,34.291836
74.475217,34.291942
74.475437,34.292370
74.475677,34.293110
74.476482,34.294687
74.477062,34.295987
74.477551,34.296872
74.478687,34.298856
74.478947,34.299375
74.479733,34.300837
74.480153,34.301577
74.480661,34.302415
74.480763,34.302840
74.480823,34.303317
74.480876,34.304154
74.480889,34.304361
74.480950,34.304767
74.481024,34.305385
74.481157,34.306235
74.481171,34.306323
74.481374,34.307221
74.481439,34.307509
74.481633,34.308367
74.482255,34.310222
74.482940,34.312049
74.483083,34.314169
74.483223,34.315009
74.483706,34.317043
74.483904,34.318001
74.483944,34.318196
74.483956,34.318275
74.483992,34.318515
74.484008,34.318626
74.484155,34.319999
74.484440,34.321232
74.484481,34.321410
74.484761,34.322077
74.485240,34.323851
74.485271,34.323984
74.485285,34.324309
74.485229,34.325590
74.485255,34.325837
74.485552,34.326716
74.486244,34.328369
74.487494,34.331387
74.487542,34.331567
74.487555,34.331907
74.487411,34.332550
74.486914,34.333496
74.486234,34.334414
74.486168,34.334607
74.486155,34.334743
74.486233,34.335129
74.486293,34.335481
74.486389,34.335831
74.486803,34.337054
74.486940,34.337498
